"enep1","eneg","avemag","uppertier","enpres","proximity1","st.eneg","st.logavemag","st.uppertier","st.enpres","st.proximity1","country","year","country.year"
5.75,1.3421,10.53,0,2.09,1,-0.209624,0.379919,-0.230057,0.31743,0.955463,"Argentina",1946,"Argentina (1946)"
1.97,1.3421,10.53,0,1.96,1,-0.209624,0.379919,-0.230057,0.276053,0.955463,"Argentina",1951,"Argentina (1951)"
1.93,1.3421,4.56,0,1.96,0.2,-0.209624,0.0554044,-0.230057,0.276053,-0.0660439,"Argentina",1954,"Argentina (1954)"
2.885,1.3421,8.13,0,2.65,1,-0.209624,0.279619,-0.230057,0.495669,0.955463,"Argentina",1958,"Argentina (1958)"
5.485,1.3421,4.17,0,2.65,0.2,-0.209624,0.0207365,-0.230057,0.495669,-0.0660439,"Argentina",1960,"Argentina (1960)"
5.98,1.3421,8.35,0,3.9,1,-0.209624,0.289972,-0.230057,0.893524,0.955463,"Argentina",1963,"Argentina (1963)"
5.155,1.3421,4.17,0,3.9,0.33,-0.209624,0.0207365,-0.230057,0.893524,0.0999511,"Argentina",1965,"Argentina (1965)"
3.19,1.3421,10.13,0,2.66,1,-0.209624,0.364902,-0.230057,0.498852,0.955463,"Argentina",1973,"Argentina (1973)"
2.63,1.3421,10.58,0,2.3,1,-0.209624,0.381755,-0.230057,0.38427,0.955463,"Argentina",1983,"Argentina (1983)"
4.24,1.3421,5.29,0,2.3,0.33,-0.209624,0.112984,-0.230057,0.38427,0.0999511,"Argentina",1985,"Argentina (1985)"
3.14,1.3421,5.52,0,2.3,0.33,-0.209624,0.129487,-0.230057,0.38427,0.0999511,"Argentina",1987,"Argentina (1987)"
3.35,1.3421,5.29,0,2.91,1,-0.209624,0.112984,-0.230057,0.578423,0.955463,"Argentina",1989,"Argentina (1989)"
3.57,1.3421,5.29,0,2.91,0.33,-0.209624,0.112984,-0.230057,0.578423,0.0999511,"Argentina",1991,"Argentina (1991)"
3.37,1.3421,5.29,0,2.91,0.33,-0.209624,0.112984,-0.230057,0.578423,0.0999511,"Argentina",1993,"Argentina (1993)"
3.58,1.3421,5.42,0,2.75,1,-0.209624,0.122398,-0.230057,0.527498,0.955463,"Argentina",1995,"Argentina (1995)"
3.65,1.3421,5.29,0,2.75,0,-0.209624,0.112984,-0.230057,0.527498,-0.321421,"Argentina",1997,"Argentina (1997)"
3.225,1.3421,5.42,0,2.56,1,-0.209624,0.122398,-0.230057,0.467024,0.955463,"Argentina",1999,"Argentina (1999)"
2.74,1.1744,1,0,0,0,-0.288908,-0.532945,-0.230057,-0.347783,-0.321421,"Australia",1946,"Australia (1946)"
2.64,1.1744,1,0,0,0,-0.288908,-0.532945,-0.230057,-0.347783,-0.321421,"Australia",1949,"Australia (1949)"
2.49,1.1744,1,0,0,0,-0.288908,-0.532945,-0.230057,-0.347783,-0.321421,"Australia",1951,"Australia (1951)"
2.46,1.1744,1,0,0,0,-0.288908,-0.532945,-0.230057,-0.347783,-0.321421,"Australia",1954,"Australia (1954)"
2.735,1.1744,1,0,0,0,-0.288908,-0.532945,-0.230057,-0.347783,-0.321421,"Australia",1955,"Australia (1955)"
2.97,1.1744,1,0,0,0,-0.288908,-0.532945,-0.230057,-0.347783,-0.321421,"Australia",1958,"Australia (1958)"
2.81,1.1744,1,0,0,0,-0.288908,-0.532945,-0.230057,-0.347783,-0.321421,"Australia",1961,"Australia (1961)"
2.79,1.1744,1,0,0,0,-0.288908,-0.532945,-0.230057,-0.347783,-0.321421,"Australia",1963,"Australia (1963)"
2.98,1.1744,1,0,0,0,-0.288908,-0.532945,-0.230057,-0.347783,-0.321421,"Australia",1966,"Australia (1966)"
2.83,1.1744,1,0,0,0,-0.288908,-0.532945,-0.230057,-0.347783,-0.321421,"Australia",1969,"Australia (1969)"
2.77,1.1744,1,0,0,0,-0.288908,-0.532945,-0.230057,-0.347783,-0.321421,"Australia",1972,"Australia (1972)"
2.66,1.1744,1,0,0,0,-0.288908,-0.532945,-0.230057,-0.347783,-0.321421,"Australia",1974,"Australia (1974)"
2.7,1.1744,1,0,0,0,-0.288908,-0.532945,-0.230057,-0.347783,-0.321421,"Australia",1975,"Australia (1975)"
3.115,1.1744,1,0,0,0,-0.288908,-0.532945,-0.230057,-0.347783,-0.321421,"Australia",1977,"Australia (1977)"
2.81,1.1744,1,0,0,0,-0.288908,-0.532945,-0.230057,-0.347783,-0.321421,"Australia",1980,"Australia (1980)"
2.67,1.1744,1,0,0,0,-0.288908,-0.532945,-0.230057,-0.347783,-0.321421,"Australia",1983,"Australia (1983)"
2.79,1.1744,1,0,0,0,-0.288908,-0.532945,-0.230057,-0.347783,-0.321421,"Australia",1984,"Australia (1984)"
3.02,1.1744,1,0,0,0,-0.288908,-0.532945,-0.230057,-0.347783,-0.321421,"Australia",1987,"Australia (1987)"
3.34,1.1744,1,0,0,0,-0.288908,-0.532945,-0.230057,-0.347783,-0.321421,"Australia",1990,"Australia (1990)"
2.88,1.1744,1,0,0,0,-0.288908,-0.532945,-0.230057,-0.347783,-0.321421,"Australia",1993,"Australia (1993)"
3.21,1.1744,1,0,0,0,-0.288908,-0.532945,-0.230057,-0.347783,-0.321421,"Australia",1996,"Australia (1996)"
3.46,1.1744,1,0,0,0,-0.288908,-0.532945,-0.230057,-0.347783,-0.321421,"Australia",1998,"Australia (1998)"
2.78,1.14368,6.6,12.73,0,0,-0.303432,0.198776,0.261618,-0.347783,-0.321421,"Austria",1949,"Austria (1949)"
2.76,1.14368,6.6,14.55,2.93,0.33,-0.303432,0.198776,0.331912,0.584789,0.0999511,"Austria",1953,"Austria (1953)"
2.48,1.14368,6.6,10.91,2.93,0.67,-0.303432,0.198776,0.191323,0.584789,0.534092,"Austria",1956,"Austria (1956)"
2.48,1.14368,6.6,12.12,2,0.33,-0.303432,0.198776,0.238057,0.288785,0.0999511,"Austria",1959,"Austria (1959)"
2.47,1.14368,6.6,10.3,2,0.67,-0.303432,0.198776,0.167763,0.288785,0.534092,"Austria",1962,"Austria (1962)"
2.39,1.14368,6.6,8.48,2,0.67,-0.303432,0.198776,0.0974686,0.288785,0.534092,"Austria",1966,"Austria (1966)"
2.29,1.14368,6.6,8.48,2,0.67,-0.303432,0.198776,0.0974686,0.288785,0.534092,"Austria",1970,"Austria (1970)"
2.28,1.14368,20.33,8.74,1.99,1,-0.303432,0.635011,0.107511,0.285602,0.955463,"Austria",1971,"Austria (1971)"
2.27,1.14368,20.33,6.56,2,0.67,-0.303432,0.635011,0.0233119,0.288785,0.534092,"Austria",1975,"Austria (1975)"
2.28,1.14368,20.33,7.65,2,0.67,-0.303432,0.635011,0.0654113,0.288785,0.534092,"Austria",1979,"Austria (1979)"
2.4,1.14368,20.33,10.38,1.5,0,-0.303432,0.635011,0.170853,0.129643,-0.321421,"Austria",1983,"Austria (1983)"
2.72,1.14368,20.33,11.48,2.27,1,-0.303432,0.635011,0.213338,0.374721,0.955463,"Austria",1986,"Austria (1986)"
3.17,1.14368,20.33,13.66,2.27,0.33,-0.303432,0.635011,0.297537,0.374721,0.0999511,"Austria",1990,"Austria (1990)"
3.87,1.14368,4.26,50.27,2.99,0.33,-0.303432,0.0290163,1.71154,0.603886,0.0999511,"Austria",1994,"Austria (1994)"
3.59,1.14368,4.26,46.99,2.99,0,-0.303432,0.0290163,1.58485,0.603886,-0.321421,"Austria",1995,"Austria (1995)"
3.82,1.14368,4.26,45.9,2.26,0.66,-0.303432,0.0290163,1.54275,0.371539,0.521323,"Austria",1999,"Austria (1999)"
3.59,2.21976,13,0,2.3,0.2,0.205309,0.461627,-0.230057,0.38427,-0.0660439,"Brazil",1947,"Brazil (1947)"
7.11,2.21976,12.16,0,2.68,1,0.205309,0.435726,-0.230057,0.505218,0.955463,"Brazil",1950,"Brazil (1950)"
8.69,2.21976,13.04,0,2.68,0.6,0.205309,0.462818,-0.230057,0.505218,0.44471,"Brazil",1954,"Brazil (1954)"
9.82,2.21976,13.04,0,2.97,0.2,0.205309,0.462818,-0.230057,0.59752,-0.0660439,"Brazil",1958,"Brazil (1958)"
11.17,2.21976,15.56,0,2.65,0.2,0.205309,0.531327,-0.230057,0.495669,-0.0660439,"Brazil",1962,"Brazil (1962)"
2.65,2.21976,19.16,0,0,0,0.205309,0.612027,-0.230057,-0.347783,-0.321421,"Brazil",1982,"Brazil (1982)"
3.555,2.21976,18.73,0,0,0,0.205309,0.603226,-0.230057,-0.347783,-0.321421,"Brazil",1986,"Brazil (1986)"
9.79,2.21976,18.63,0,5.69,0.6,0.205309,0.60115,-0.230057,1.46325,0.44471,"Brazil",1990,"Brazil (1990)"
8.53,2.21976,19,0,2.65,1,0.205309,0.608776,-0.230057,0.495669,0.955463,"Brazil",1994,"Brazil (1994)"
8.14,2.21976,19,0,2.53,1,0.205309,0.608776,-0.230057,0.457475,0.955463,"Brazil",1998,"Brazil (1998)"
2.835,2.47733,1,0,0,0,0.327082,-0.532945,-0.230057,-0.347783,-0.321421,"Canada",1949,"Canada (1949)"
2.855,2.47733,1,0,0,0,0.327082,-0.532945,-0.230057,-0.347783,-0.321421,"Canada",1953,"Canada (1953)"
2.99,2.47733,1,0,0,0,0.327082,-0.532945,-0.230057,-0.347783,-0.321421,"Canada",1957,"Canada (1957)"
2.44,2.47733,1,0,0,0,0.327082,-0.532945,-0.230057,-0.347783,-0.321421,"Canada",1958,"Canada (1958)"
3.23,2.47733,1,0,0,0,0.327082,-0.532945,-0.230057,-0.347783,-0.321421,"Canada",1962,"Canada (1962)"
3.2,2.47733,1,0,0,0,0.327082,-0.532945,-0.230057,-0.347783,-0.321421,"Canada",1963,"Canada (1963)"
3.31,2.47733,1,0,0,0,0.327082,-0.532945,-0.230057,-0.347783,-0.321421,"Canada",1965,"Canada (1965)"
2.97,2.47733,1,0,0,0,0.327082,-0.532945,-0.230057,-0.347783,-0.321421,"Canada",1968,"Canada (1968)"
3.25,2.47733,1,0,0,0,0.327082,-0.532945,-0.230057,-0.347783,-0.321421,"Canada",1972,"Canada (1972)"
2.96,2.47733,1,0,0,0,0.327082,-0.532945,-0.230057,-0.347783,-0.321421,"Canada",1974,"Canada (1974)"
3.09,2.47733,1,0,0,0,0.327082,-0.532945,-0.230057,-0.347783,-0.321421,"Canada",1979,"Canada (1979)"
2.93,2.47733,1,0,0,0,0.327082,-0.532945,-0.230057,-0.347783,-0.321421,"Canada",1980,"Canada (1980)"
2.75,2.47733,1,0,0,0,0.327082,-0.532945,-0.230057,-0.347783,-0.321421,"Canada",1984,"Canada (1984)"
3.04,2.47733,1,0,0,0,0.327082,-0.532945,-0.230057,-0.347783,-0.321421,"Canada",1988,"Canada (1988)"
3.93,2.47733,1,0,0,0,0.327082,-0.532945,-0.230057,-0.347783,-0.321421,"Canada",1993,"Canada (1993)"
4.085,2.47733,1,0,0,0,0.327082,-0.532945,-0.230057,-0.347783,-0.321421,"Canada",1997,"Canada (1997)"
3.77,2.47733,1,0,0,0,0.327082,-0.532945,-0.230057,-0.347783,-0.321421,"Canada",2000,"Canada (2000)"
7.05,1.98807,5.25,0,1.97,0,0.0957727,0.110041,-0.230057,0.279236,-0.321421,"Chile",1949,"Chile (1949)"
11.88,1.98807,5.25,0,2.95,0.67,0.0957727,0.110041,-0.230057,0.591154,0.534092,"Chile",1953,"Chile (1953)"
8.62,1.98807,5.25,0,2.95,0.67,0.0957727,0.110041,-0.230057,0.591154,0.534092,"Chile",1957,"Chile (1957)"
6.44,1.98807,5.25,0,3.97,0,0.0957727,0.110041,-0.230057,0.915804,-0.321421,"Chile",1961,"Chile (1961)"
4.06,1.98807,5.25,0,2.14,0.67,0.0957727,0.110041,-0.230057,0.333344,0.534092,"Chile",1965,"Chile (1965)"
4.92,1.98807,5.36,0,2.14,0.67,0.0957727,0.118082,-0.230057,0.333344,0.534092,"Chile",1969,"Chile (1969)"
5.3,1.98807,5.24,0,2.96,0.67,0.0957727,0.109302,-0.230057,0.594337,0.534092,"Chile",1973,"Chile (1973)"
2.37,2.90698,7.65,0,2.35,1,0.530208,0.256022,-0.230057,0.400184,0.955463,"Colombia",1974,"Colombia (1974)"
